Sphere_ID	Pseudotime
PT_Control.1h_1	0.506934958365526
PT_Control.1h_2	0.336401316046203
PT_Control.1h_3	0.15621228722687
PT_Control.1h_4	0.71898576719328
PT_Control.1h_5	0.328379932291859
PT_Control.1h_6	0.281534208916422
PT_Control.1h_7	0.135110743607332
PT_Control.1h_8	0.478706545044793
PT_Control.2h_1	1.90682478554316
PT_Control.2h_2	2.08031779825345
PT_Control.2h_3	0.454157068912867
PT_Control.2h_4	1.90870788281368
PT_Control.2h_5	0.932805609736719
PT_Control.2h_6	1.59868783372354
PT_Control.2h_7	1.92082096700122
PT_Control.2h_8	2.31959850954498
PT_Control.3h_1	3.49702428372349
PT_Control.3h_2	2.72346927062015
PT_Control.3h_3	3.32022212396392
PT_Control.3h_4	2.78996828944091
PT_Control.3h_5	2.6917313084101
PT_Control.3h_6	2.75548541081414
PT_Control.3h_7	3.04338349922862
PT_Control.3h_8	2.08309746738661
PT_Control.4h_1	4.91037206871043
PT_Control.4h_2	4.245747045151
PT_Control.4h_4	4.68947425589598
PT_Control.4h_5	5.13083103304831
PT_Control.4h_6	4.39634920514433
PT_Control.4h_7	4.02665238054322
PT_Control.4h_8	3.74087765137127
PT_Control.5h_2	5.59581367449476
PT_Control.5h_3	4.92023240620152
PT_Control.5h_4	5.73929969009223
PT_Control.5h_5	5.55231149690247
PT_Control.5h_6	3.75027959606983
PT_Control.5h_7	4.56604663362767
PT_Control.5h_8	4.90376071833299
PT_Control.6h_1	6.38021939003043
PT_Control.6h_2	6.27757977584681
PT_Control.6h_3	6.46064036422028
PT_Control.6h_4	5.50467149933554
PT_Control.6h_5	6.08223035574442
PT_Control.6h_6	5.04947238619802
PT_Control.6h_7	5.78947217728112
PT_Control.6h_8	6.75052276803365
PT_Control.7h_1	6.41311849476465
PT_Control.7h_2	7.67695658460576
PT_Control.7h_3	6.9400467039101
PT_Control.7h_4	7.36154222151372
PT_Control.7h_5	6.70077910779501
PT_Control.7h_6	6.9510683832135
PT_Control.7h_7	6.26279548132363
PT_Control.7h_8	6.65502390993274
PT_Control.8h_1	7.63452675483048
PT_Control.8h_2	7.72677428355248
PT_Control.8h_3	8.19382873430038
PT_Control.8h_4	7.55755546090439
PT_Control.8h_5	7.64658138477514
PT_Control.8h_6	7.04085374816641
PT_Control.8h_7	7.94811506429068
PT_Control.8h_8	8.04174430974585
PT_Control.9h_1	8.42015409602086
PT_Control.9h_2	8.7245924047878
PT_Control.9h_3	8.25700231227874
PT_Control.9h_4	8.76639472073369
PT_Control.9h_5	8.29439631174118
PT_Control.9h_6	8.30373856729336
PT_Control.9h_7	8.62802221060366
PT_Control.9h_8	9.23375085105788
PT_Control.10h_1	8.57754831116399
PT_Control.10h_2	8.43294861958397
PT_Control.10h_3	8.9618365922884
PT_Control.10h_4	8.6698130944888
PT_Control.10h_5	8.64074413043999
PT_Control.10h_6	8.17149832508152
PT_Control.10h_7	8.03816238684747
PT_Control.10h_8	9.04864151927777
PT_Control.11h_1	9.19139832077905
PT_Control.11h_2	8.42650872058886
PT_Control.11h_3	8.98342013860405
PT_Control.11h_4	8.39854988219242
PT_Control.11h_5	9.45760005033643
PT_Control.11h_6	8.67447058159149
PT_Control.11h_7	9.2345563141273
PT_Control.11h_8	8.77022756512091
PT_Control.12h_1	12.8191532489331
PT_Control.12h_2	11.9737625806947
PT_Control.12h_3	12.3867432266985
